"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
292;4;"—";215;"78 70 67";0;"Участвуете в конкурсе";993293;"21.06.2026 в 12:47"
293;5;"Электронное";215;"78 74 63";0;"Участвуете в конкурсе";1128157;"25.06.2026 в 17:25"
294;2;"—";215;"76 64 75";0;"Участвуете в конкурсе";1247405;"30.06.2026 в 17:57"
295;5;"—";215;"76 72 67";0;"На рассмотрении";1268002;"29.06.2026 в 21:53"
296;4;"—";215;"76 70 69";0;"На рассмотрении";1357803;"04.07.2026 в 01:00"
297;1;"—";215;"76 67 72";0;"На рассмотрении";1502940;"02.07.2026 в 17:26"
298;1;"—";215;"74 80 61";0;"На рассмотрении";1564605;"03.07.2026 в 18:08"
299;3;"—";214;"78 72 64";0;"Участвуете в конкурсе";1334673;"30.06.2026 в 15:21"
300;2;"—";213;"82 67 64";0;"Участвуете в конкурсе";1178798;"27.06.2026 в 20:39"
301;1;"—";213;"70 85 58";0;"На рассмотрении";1417342;"01.07.2026 в 15:56"
302;4;"—";213;"74 67 72";0;"Участвуете в конкурсе";1503971;"02.07.2026 в 17:41"
303;4;"—";213;"78 64 70";1;"Конкурсная группа исключена";1262162;"29.06.2026 в 21:46"
304;1;"—";212;"78 70 64";0;"Передано в вуз";1096486;"05.07.2026 в 14:28"
305;5;"—";212;"78 62 72";0;"Участвуете в конкурсе";1191092;"28.06.2026 в 12:56"
306;3;"—";212;"72 83 57";0;"Участвуете в конкурсе";1351534;"30.06.2026 в 18:33"
307;4;"—";212;"72 62 78";0;"На рассмотрении";1438033;"03.07.2026 в 13:54"
308;4;"—";212;"72 67 73";0;"Участвуете в конкурсе";1451147;"02.07.2026 в 08:03"
309;4;"—";212;"76 75 61";0;"На рассмотрении";1609386;"04.07.2026 в 14:07"
310;1;"—";212;"74 68 70";0;"На рассмотрении";1621372;"04.07.2026 в 19:16"
311;3;"—";212;"64 83 64";1;"Участвуете в конкурсе";1198882;"28.06.2026 в 15:58"
312;4;"—";212;"76 65 70";1;"На рассмотрении";1556120;"03.07.2026 в 17:25"
313;2;"—";211;"74 59 78";0;"Участвуете в конкурсе";1277299;"01.07.2026 в 00:41"
314;1;"—";211;"70 78 63";0;"На рассмотрении";1539635;"03.07.2026 в 13:59"
315;3;"—";210;"70 65 75";0;"Участвуете в конкурсе";1177577;"27.06.2026 в 19:39"
316;1;"—";210;"70 64 75";1;"Участвуете в конкурсе";1297247;"30.06.2026 в 08:07"
317;3;"—";210;"78 83 48";1;"На рассмотрении";1574234;"03.07.2026 в 18:51"
318;2;"—";209;"72 62 75";0;"Участвуете в конкурсе";1135230;"26.06.2026 в 06:52"
319;3;"—";209;"74 75 60";0;"На рассмотрении";1515977;"02.07.2026 в 21:29"
320;3;"—";209;"74 72 63";0;"Передано в вуз";1543083;"05.07.2026 в 14:01"
321;5;"—";209;"70 70 69";0;"На рассмотрении";1627113;"04.07.2026 в 23:34"
322;2;"—";207;"78 48 81";0;"Конкурсная группа исключена";963549;"24.06.2026 в 12:41"
323;2;"—";207;"72 72 63";0;"На рассмотрении";1416114;"03.07.2026 в 21:53"
324;4;"—";207;"74 64 69";0;"На рассмотрении";1441838;"03.07.2026 в 16:44"
325;3;"—";206;"74 68 64";0;"Участвуете в конкурсе";1298358;"30.06.2026 в 08:38"
326;2;"—";206;"80 70 55";1;"На рассмотрении";1554751;"03.07.2026 в 17:19"
327;3;"—";205;"74 64 67";0;"Участвуете в конкурсе";1186745;"28.06.2026 в 12:14"
328;1;"—";205;"72 72 61";0;"На рассмотрении";1479803;"02.07.2026 в 17:12"
329;2;"—";204;"74 61 69";0;"Участвуете в конкурсе";1256868;"29.06.2026 в 21:38"
330;1;"—";204;"76 64 64";0;"Участвуете в конкурсе";1350560;"30.06.2026 в 18:17"
331;2;"—";204;"80 61 63";0;"На рассмотрении";1610948;"04.07.2026 в 14:38"
332;3;"—";204;"70 58 75";1;"На рассмотрении";1143993;"26.06.2026 в 12:36"
333;1;"—";202;"74 62 66";0;"Участвуете в конкурсе";1422405;"01.07.2026 в 16:54"
334;1;"—";201;"80 67 54";0;"Участвуете в конкурсе";1304575;"30.06.2026 в 10:17"
335;1;"—";201;"74 67 60";0;"Передано в вуз";1380139;"05.07.2026 в 15:07"
336;5;"—";199;"70 62 67";0;"Участвуете в конкурсе";972993;"01.07.2026 в 10:08"
337;2;"—";199;"64 75 60";0;"Участвуете в конкурсе";1323093;"30.06.2026 в 15:18"
338;3;"—";198;"80 58 60";0;"Участвуете в конкурсе";1209397;"28.06.2026 в 20:36"
339;2;"—";198;"70 61 67";0;"На рассмотрении";1513231;"02.07.2026 в 20:32"
340;1;"—";197;"64 67 66";0;"На рассмотрении";1316282;"03.07.2026 в 09:43"
341;1;"—";195;"70 70 55";0;"Участвуете в конкурсе";1262648;"30.06.2026 в 12:07"
342;2;"—";195;"70 67 58";0;"Участвуете в конкурсе";1277443;"01.07.2026 в 18:48"
343;3;"—";195;"70 62 63";0;"Участвуете в конкурсе";1428512;"01.07.2026 в 18:40"
344;4;"—";194;"82 54 58";0;"Передано в вуз";1630592;"05.07.2026 в 09:45"
345;2;"—";193;"76 56 61";0;"Участвуете в конкурсе";1169328;"28.06.2026 в 14:16"
346;3;"—";193;"99 94";0;"Передано в вуз";1632725;"05.07.2026 в 12:03"
347;4;"—";192;"76 62 54";0;"Участвуете в конкурсе";1158246;"29.06.2026 в 21:42"
348;2;"—";192;"76 62 54";0;"На рассмотрении";1510140;"02.07.2026 в 19:31"
349;4;"—";192;"78 53 60";1;"Участвуете в конкурсе";1313917;"30.06.2026 в 11:51"
350;2;"—";191;"64 70 57";0;"Участвуете в конкурсе";1332365;"30.06.2026 в 15:17"
351;3;"—";190;"74 61 55";0;"Участвуете в конкурсе";1164842;"27.06.2026 в 11:31"
352;5;"—";190;"70 54 66";0;"Участвуете в конкурсе";1258616;"29.06.2026 в 21:41"
353;2;"Электронное";190;"78 61 51";0;"Участвуете в конкурсе";1429523;"01.07.2026 в 18:41"
354;3;"—";190;"72 51 66";1;"Участвуете в конкурсе";1249726;"29.06.2026 в 21:29"
355;1;"—";188;"52 79 57";0;"На рассмотрении";969698;"20.06.2026 в 14:15"
356;4;"—";188;"80 48 60";0;"Участвуете в конкурсе";1057057;"30.06.2026 в 07:59"
357;1;"—";188;"70 49 69";0;"На рассмотрении";1460799;"02.07.2026 в 16:46"
