"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
961;6;"—";199;"64 67 67";1;"На рассмотрении";1625470;"04.07.2026 в 22:02"
962;3;"Электронное";198;"70 59 69";0;"Участвуете в конкурсе";1002541;"23.06.2026 в 19:43"
963;2;"—";198;"70 70 58";0;"Участвуете в конкурсе";1207634;"28.06.2026 в 19:48"
964;5;"—";198;"80 58 60";0;"Участвуете в конкурсе";1209397;"28.06.2026 в 20:36"
965;11;"—";198;"76 62 60";0;"На рассмотрении";1388658;"01.07.2026 в 12:12"
966;6;"—";198;"70 70 58";0;"На рассмотрении";1404486;"01.07.2026 в 15:04"
967;4;"—";198;"52 70 75";1;"Участвуете в конкурсе";1265598;"29.06.2026 в 21:50"
968;5;"Электронное";198;"76 64 57";1;"На рассмотрении";1466504;"02.07.2026 в 11:27"
969;5;"—";197;"64 67 66";0;"На рассмотрении";1316282;"03.07.2026 в 09:43"
970;3;"—";197;"72 64 61";0;"На рассмотрении";1491819;"02.07.2026 в 15:19"
971;3;"—";197;"76 54 67";0;"На рассмотрении";1623509;"04.07.2026 в 20:56"
972;5;"—";197;"72 58 66";1;"На рассмотрении";1519633;"03.07.2026 в 22:43"
973;3;"—";196;"52 72 72";0;"Участвуете в конкурсе";1257908;"29.06.2026 в 21:39"
974;7;"—";196;"70 54 72";0;"Участвуете в конкурсе";1277522;"29.06.2026 в 21:58"
975;3;"Электронное";196;"70 72 54";0;"Участвуете в конкурсе";1339250;"01.07.2026 в 12:07"
976;6;"—";196;"70 62 64";0;"На рассмотрении";1573142;"03.07.2026 в 18:46"
977;6;"—";196;"64 78 54";0;"Передано в вуз";1632948;"05.07.2026 в 11:45"
978;5;"—";196;"70 59 66";1;"Участвуете в конкурсе";1430661;"01.07.2026 в 19:00"
979;2;"—";196;"72 51 66";7;"Участвуете в конкурсе";1254729;"29.06.2026 в 21:35"
980;5;"—";195;"64 59 72";0;"Участвуете в конкурсе";1176439;"01.07.2026 в 20:06"
