"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
325;1;"Электронное";236;"80 78 78";0;"Участвуете в конкурсе";1252219;"29.06.2026 в 21:32"
326;4;"—";236;"78 83 75";0;"Участвуете в конкурсе";1422338;"01.07.2026 в 16:53"
327;5;"—";236;"80 72 83";1;"Участвуете в конкурсе";1398682;"01.07.2026 в 13:07"
328;2;"—";236;"92 67 75";2;"Участвуете в конкурсе";971656;"20.06.2026 в 14:52"
329;2;"—";236;"78 90 63";5;"Конкурсная группа исключена";1436717;"01.07.2026 в 20:50"
330;7;"—";236;"74 78 78";6;"Участвуете в конкурсе";1260857;"29.06.2026 в 21:44"
331;3;"—";236;"82 70 78";6;"Участвуете в конкурсе";1349116;"30.06.2026 в 17:54"
332;5;"—";235;"94 80 61";0;"Участвуете в конкурсе";1256922;"29.06.2026 в 21:38"
333;3;"—";235;"78 84 73";0;"Участвуете в конкурсе";1264607;"29.06.2026 в 21:49"
334;2;"Электронное";235;"80 88 67";0;"Участвуете в конкурсе";1384003;"02.07.2026 в 22:21"
335;3;"—";235;"80 80 75";0;"Передано в вуз";1594036;"05.07.2026 в 09:19"
336;7;"—";235;"82 83 70";0;"На рассмотрении";1598792;"04.07.2026 в 11:18"
337;7;"—";235;"80 72 83";0;"На рассмотрении";1605475;"04.07.2026 в 12:59"
338;6;"—";235;"82 83 69";1;"Участвуете в конкурсе";1327996;"01.07.2026 в 17:24"
339;4;"—";235;"80 83 70";2;"Участвуете в конкурсе";1189878;"28.06.2026 в 12:24"
340;3;"—";235;"76 70 83";6;"На рассмотрении";1001841;"21.06.2026 в 20:53"
341;6;"—";235;"78 88 63";6;"Участвуете в конкурсе";1266434;"29.06.2026 в 21:51"
342;2;"—";235;"76 72 81";6;"Участвуете в конкурсе";1444174;"01.07.2026 в 23:40"
343;3;"—";234;"80 88 66";0;"Участвуете в конкурсе";1185449;"30.06.2026 в 20:25"
344;3;"—";234;"78 78 78";0;"Участвуете в конкурсе";1246453;"29.06.2026 в 21:25"
345;4;"—";234;"84 72 78";0;"На рассмотрении";1280867;"29.06.2026 в 22:00"
346;2;"—";234;"78 80 70";6;"Участвуете в конкурсе";1090013;"24.06.2026 в 12:52"
347;8;"—";234;"84 72 72";6;"Участвуете в конкурсе";1359766;"30.06.2026 в 21:09"
348;4;"—";234;"76 80 72";6;"На рассмотрении";1568440;"03.07.2026 в 18:25"
349;3;"—";234;"76 88 63";7;"Участвуете в конкурсе";1252348;"29.06.2026 в 21:32"
350;2;"—";233;"80 67 86";0;"Участвуете в конкурсе";994900;"25.06.2026 в 18:02"
351;4;"—";233;"78 85 70";0;"Участвуете в конкурсе";1257860;"29.06.2026 в 21:39"
352;1;"—";233;"76 74 83";0;"На рассмотрении";1267568;"29.06.2026 в 21:53"
353;3;"—";233;"84 74 75";0;"На рассмотрении";1306184;"02.07.2026 в 17:07"
354;2;"—";233;"82 75 75";1;"Участвуете в конкурсе";1318401;"01.07.2026 в 17:38"
355;2;"—";233;"82 72 73";6;"Участвуете в конкурсе";1151739;"26.06.2026 в 16:04"
356;2;"—";232;"76 70 86";0;"Участвуете в конкурсе";1186628;"28.06.2026 в 10:40"
357;3;"—";232;"74 80 78";0;"На рассмотрении";1618765;"04.07.2026 в 17:49"
358;2;"—";232;"78 80 73";1;"Участвуете в конкурсе";1438685;"01.07.2026 в 21:27"
359;4;"—";232;"86 72 73";1;"Участвуете в конкурсе";1444802;"02.07.2026 в 00:03"
360;1;"—";232;"72 71 83";6;"Конкурсная группа исключена";1155942;"26.06.2026 в 19:39"
361;3;"—";232;"70 67 89";6;"На рассмотрении";1350157;"02.07.2026 в 12:22"
362;1;"—";231;"86 78 67";0;"Конкурсная группа исключена";1190930;"01.07.2026 в 13:15"
363;2;"—";231;"86 85 60";0;"Участвуете в конкурсе";1349850;"30.06.2026 в 18:06"
364;5;"Электронное";231;"80 78 73";0;"На рассмотрении";1479442;"02.07.2026 в 13:25"
365;3;"—";231;"82 88 61";0;"На рассмотрении";1515641;"02.07.2026 в 21:21"
366;3;"—";231;"82 83 66";0;"На рассмотрении";1627046;"04.07.2026 в 23:30"
367;7;"—";231;"80 75 75";1;"Участвуете в конкурсе";1429454;"01.07.2026 в 18:40"
368;2;"—";231;"80 78 70";3;"Участвуете в конкурсе";1261373;"29.06.2026 в 21:45"
369;2;"—";231;"84 72 69";6;"Участвуете в конкурсе";1354773;"30.06.2026 в 19:31"
370;5;"—";231;"74 80 70";7;"Участвуете в конкурсе";1264876;"29.06.2026 в 21:49"
371;1;"—";230;"78 80 72";0;"Участвуете в конкурсе";1190240;"28.06.2026 в 14:02"
372;5;"—";230;"72 67 91";0;"Участвуете в конкурсе";1454457;"02.07.2026 в 09:18"
373;4;"Электронное";230;"80 72 78";0;"На рассмотрении";1502376;"02.07.2026 в 17:17"
374;4;"—";230;"78 74 78";0;"Передано в вуз";1630370;"05.07.2026 в 09:26"
375;3;"—";230;"80 75 72";3;"Участвуете в конкурсе";1220574;"29.06.2026 в 08:08"
376;1;"—";230;"74 78 72";6;"Участвуете в конкурсе";1186374;"28.06.2026 в 10:30"
377;1;"Электронное";229;"74 77 78";0;"На рассмотрении";1081975;"24.06.2026 в 09:16"
378;5;"—";229;"82 75 72";0;"Участвуете в конкурсе";1248465;"29.06.2026 в 21:28"
379;3;"—";229;"78 78 73";0;"Участвуете в конкурсе";1356493;"30.06.2026 в 20:03"
380;1;"—";229;"78 78 73";0;"На рассмотрении";1499098;"02.07.2026 в 16:36"
381;5;"—";229;"86 48 89";6;"Участвуете в конкурсе";1116170;"25.06.2026 в 11:44"
382;4;"—";229;"82 65 75";7;"Конкурсная группа исключена";1244672;"29.06.2026 в 21:23"
383;3;"—";228;"78 77 73";0;"На рассмотрении";1332297;"30.06.2026 в 15:17"
384;3;"—";228;"78 80 70";0;"Участвуете в конкурсе";1356416;"30.06.2026 в 20:01"
385;3;"—";228;"82 73 73";0;"На рассмотрении";1417328;"03.07.2026 в 16:37"
386;1;"—";228;"72 83 73";0;"Участвуете в конкурсе";1447426;"02.07.2026 в 04:39"
387;5;"—";228;"78 83 66";1;"Участвуете в конкурсе";1231750;"29.06.2026 в 21:10"
388;4;"—";228;"96 79 52";1;"Участвуете в конкурсе";1242439;"29.06.2026 в 21:20"
389;1;"—";228;"72 88 67";1;"На рассмотрении";1276866;"03.07.2026 в 22:57"
390;4;"—";227;"78 83 66";0;"Участвуете в конкурсе";1209770;"28.06.2026 в 20:47"
391;1;"—";227;"76 83 67";1;"На рассмотрении";1611678;"04.07.2026 в 14:53"
392;2;"—";227;"78 70 73";6;"Участвуете в конкурсе";1323790;"01.07.2026 в 13:16"
393;2;"—";226;"82 78 66";0;"На рассмотрении";1188871;"04.07.2026 в 14:55"
394;2;"—";226;"86 85 55";0;"Участвуете в конкурсе";1255051;"29.06.2026 в 21:36"
395;1;"—";226;"82 72 72";0;"Передано в вуз";1636859;"05.07.2026 в 13:50"
396;2;"—";225;"82 70 73";0;"Конкурсная группа исключена";989165;"21.06.2026 в 08:55"
397;2;"—";225;"80 72 73";0;"На рассмотрении";1265548;"29.06.2026 в 21:50"
398;3;"—";225;"80 72 73";0;"Участвуете в конкурсе";1310201;"02.07.2026 в 08:54"
399;4;"—";225;"72 80 73";0;"Участвуете в конкурсе";1335616;"30.06.2026 в 15:48"
400;4;"—";225;"78 78 69";0;"Участвуете в конкурсе";1394471;"01.07.2026 в 12:34"
401;1;"—";225;"74 79 72";0;"На рассмотрении";1507317;"02.07.2026 в 18:37"
402;7;"—";225;"80 72 73";0;"На рассмотрении";1599263;"04.07.2026 в 11:25"
403;1;"—";225;"74 90 60";1;"Участвуете в конкурсе";1242790;"29.06.2026 в 21:21"
404;3;"—";225;"82 67 75";1;"Участвуете в конкурсе";1349942;"30.06.2026 в 18:07"
405;2;"Электронное";225;"74 78 63";10;"Участвуете в конкурсе";1264310;"29.06.2026 в 21:49"
406;2;"—";224;"84 80 60";0;"Участвуете в конкурсе";1281557;"30.06.2026 в 15:16"
407;5;"—";224;"80 72 72";0;"Участвуете в конкурсе";1329438;"30.06.2026 в 14:29"
408;7;"—";224;"84 70 70";0;"На рассмотрении";1419388;"01.07.2026 в 16:19"
409;4;"—";224;"82 64 78";0;"Конкурсная группа исключена";1505513;"02.07.2026 в 18:05"
410;5;"—";223;"82 72 69";0;"Участвуете в конкурсе";1360567;"30.06.2026 в 21:26"
411;5;"—";223;"80 78 64";1;"На рассмотрении";1513213;"02.07.2026 в 20:31"
412;4;"—";223;"80 75 67";1;"На рассмотрении";1537201;"03.07.2026 в 10:49"
413;4;"—";223;"78 72 67";6;"Участвуете в конкурсе";1368005;"01.07.2026 в 02:48"
414;5;"—";222;"76 74 72";0;"Участвуете в конкурсе";1378431;"01.07.2026 в 09:55"
415;4;"—";222;"84 78 60";0;"Конкурсная группа исключена";1602344;"04.07.2026 в 12:10"
416;2;"Электронное";222;"86 67 69";0;"На рассмотрении";1625896;"04.07.2026 в 22:23"
417;5;"—";221;"74 64 83";0;"Участвуете в конкурсе";946414;"20.06.2026 в 10:06"
418;4;"—";221;"84 48 89";0;"Конкурсная группа исключена";1105139;"24.06.2026 в 21:06"
419;2;"—";221;"76 72 73";0;"Участвуете в конкурсе";1377049;"01.07.2026 в 09:37"
420;2;"—";221;"78 54 89";0;"Участвуете в конкурсе";1396118;"01.07.2026 в 22:36"
421;4;"—";221;"78 54 89";0;"Участвуете в конкурсе";1422179;"01.07.2026 в 16:51"
422;1;"—";220;"76 75 69";0;"На рассмотрении";1472866;"02.07.2026 в 12:55"
423;6;"—";220;"74 62 78";6;"На рассмотрении";1265726;"29.06.2026 в 21:50"
424;3;"—";219;"78 75 66";0;"Участвуете в конкурсе";1163264;"27.06.2026 в 10:38"
425;6;"Электронное";219;"82 85 52";0;"Участвуете в конкурсе";1179482;"27.06.2026 в 21:18"
426;2;"—";219;"80 72 67";0;"Участвуете в конкурсе";1182471;"02.07.2026 в 00:21"
427;1;"—";219;"72 75 72";0;"Участвуете в конкурсе";1339094;"30.06.2026 в 15:45"
428;7;"—";219;"76 83 60";0;"Участвуете в конкурсе";1343757;"30.06.2026 в 16:39"
429;7;"—";219;"76 70 73";0;"Участвуете в конкурсе";1347475;"30.06.2026 в 17:29"
430;3;"—";219;"70 80 69";0;"Участвуете в конкурсе";1412163;"01.07.2026 в 15:07"
431;4;"—";219;"78 72 69";0;"Участвуете в конкурсе";1424903;"01.07.2026 в 17:27"
432;1;"—";219;"76 80 63";0;"Участвуете в конкурсе";1426647;"01.07.2026 в 17:54"
433;4;"—";219;"74 78 67";0;"На рассмотрении";1484852;"02.07.2026 в 14:15"
434;3;"—";219;"74 67 78";0;"Конкурсная группа исключена";1509271;"02.07.2026 в 19:14"
435;2;"—";218;"74 72 72";0;"Участвуете в конкурсе";1258250;"29.06.2026 в 21:40"
436;3;"—";218;"76 78 64";0;"Участвуете в конкурсе";1259274;"29.06.2026 в 21:41"
437;1;"—";218;"76 78 64";0;"На рассмотрении";1268019;"29.06.2026 в 21:53"
438;3;"—";218;"86 54 78";0;"Участвуете в конкурсе";1383682;"01.07.2026 в 10:52"
439;4;"—";218;"72 75 70";1;"На рассмотрении";1360627;"30.06.2026 в 21:27"
440;4;"—";218;"82 75 60";1;"На рассмотрении";1515076;"02.07.2026 в 21:10"
441;7;"—";218;"78 75 64";1;"На рассмотрении";1602792;"04.07.2026 в 12:17"
