"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
120;1;"—";247;"76 78 93";0;"На рассмотрении";1576203;"03.07.2026 в 19:02"
121;4;"—";247;"84 93 70";0;"Передано в вуз";1602215;"05.07.2026 в 12:31"
122;3;"—";246;"78 82 86";0;"На рассмотрении";1307414;"30.06.2026 в 10:49"
123;4;"—";246;"86 88 72";0;"Участвуете в конкурсе";1349984;"30.06.2026 в 18:08"
124;4;"—";246;"88 83 75";0;"На рассмотрении";1373180;"01.07.2026 в 08:23"
125;5;"—";246;"80 83 83";0;"На рассмотрении";1422692;"01.07.2026 в 16:58"
126;5;"—";246;"82 83 81";0;"На рассмотрении";1438763;"01.07.2026 в 22:21"
127;1;"—";246;"80 85 81";0;"На рассмотрении";1501129;"02.07.2026 в 17:00"
128;4;"—";246;"90 84 72";0;"На рассмотрении";1504538;"02.07.2026 в 17:50"
129;5;"—";245;"84 80 81";0;"На рассмотрении";1163152;"01.07.2026 в 07:25"
130;2;"—";245;"80 90 75";0;"Участвуете в конкурсе";1241908;"29.06.2026 в 21:20"
131;5;"—";245;"86 93 66";0;"На рассмотрении";1347761;"30.06.2026 в 17:33"
132;2;"—";245;"84 72 89";0;"Участвуете в конкурсе";1353857;"30.06.2026 в 19:15"
133;4;"—";245;"84 83 78";0;"На рассмотрении";1373353;"03.07.2026 в 08:03"
134;4;"—";245;"76 88 81";0;"На рассмотрении";1466407;"02.07.2026 в 11:26"
135;3;"—";245;"76 80 89";0;"На рассмотрении";1516469;"03.07.2026 в 17:45"
136;5;"—";245;"82 80 73";10;"На рассмотрении";1258518;"29.06.2026 в 21:40"
137;3;"—";245;"86 74 75";10;"На рассмотрении";1316442;"30.06.2026 в 12:15"
138;2;"—";244;"86 80 78";0;"На рассмотрении";990734;"28.06.2026 в 11:04"
139;4;"—";244;"78 83 83";0;"На рассмотрении";1207771;"28.06.2026 в 19:51"
