"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
747;2;"—";163;"82 81";0;"Конкурсная группа исключена";832645;"20.06.2026 в 09:05"
748;3;"—";163;"58 56 49";0;"На рассмотрении";1172206;"03.07.2026 в 17:14"
749;2;"—";161;"58 43 60";0;"На рассмотрении";1185992;"28.06.2026 в 10:14"
750;2;"Электронное";161;"58 48 55";0;"На рассмотрении";1255308;"30.06.2026 в 11:47"
751;3;"—";161;"58 54 49";0;"На рассмотрении";1444873;"02.07.2026 в 00:07"
752;5;"—";161;"52 54 55";0;"На рассмотрении";1550360;"03.07.2026 в 17:05"
753;1;"—";161;"58 54 46";3;"На рассмотрении";945961;"20.06.2026 в 10:26"
754;4;"—";160;"52 48 60";0;"Участвуете в конкурсе";1089580;"29.06.2026 в 21:15"
755;1;"—";160;"58 54 48";0;"На рассмотрении";1184648;"28.06.2026 в 08:57"
756;3;"—";160;"58 51 51";0;"На рассмотрении";1332875;"30.06.2026 в 15:18"
757;2;"—";160;"58 54 48";0;"На рассмотрении";1467407;"02.07.2026 в 12:12"
758;6;"—";159;"64 44 51";0;"На рассмотрении";1209534;"28.06.2026 в 20:40"
759;1;"—";159;"52 64 43";0;"На рассмотрении";1238079;"29.06.2026 в 21:16"
760;4;"—";159;"52 46 61";0;"На рассмотрении";1310535;"30.06.2026 в 11:18"
761;3;"—";158;"52 54 52";0;"На рассмотрении";982148;"20.06.2026 в 20:11"
762;2;"Электронное";158;"64 48 46";0;"На рассмотрении";1182809;"28.06.2026 в 03:18"
763;1;"—";158;"46 46 66";0;"На рассмотрении";1184742;"02.07.2026 в 10:39"
764;2;"—";157;"58 54 45";0;"На рассмотрении";1164511;"27.06.2026 в 11:21"
765;1;"—";157;"52 51 54";0;"На рассмотрении";1262861;"29.06.2026 в 21:47"
766;3;"—";157;"52 48 57";0;"На рассмотрении";1533595;"04.07.2026 в 11:07"
767;3;"—";157;"52 64 40";1;"Участвуете в конкурсе";1190513;"28.06.2026 в 12:41"
768;2;"—";155;"58 51 46";0;"На рассмотрении";1418139;"01.07.2026 в 17:44"
769;3;"—";155;"52 46 57";0;"На рассмотрении";1546073;"03.07.2026 в 16:32"
770;5;"—";155;"52 51 52";0;"На рассмотрении";1576250;"03.07.2026 в 19:03"
771;2;"—";154;"58 51 45";0;"Участвуете в конкурсе";1030124;"22.06.2026 в 15:07"
772;5;"—";154;"40 56 58";0;"На рассмотрении";1220542;"29.06.2026 в 08:06"
773;5;"—";153;"52 46 55";0;"На рассмотрении";1600465;"04.07.2026 в 11:43"
774;5;"—";152;"46 51 55";0;"На рассмотрении";1535990;"03.07.2026 в 17:47"
775;2;"—";151;"40 51 60";0;"На рассмотрении";1306893;"30.06.2026 в 10:43"
776;1;"—";150;"40 59 51";0;"На рассмотрении";1296107;"30.06.2026 в 07:30"
777;3;"—";150;"52 44 54";0;"На рассмотрении";1328951;"01.07.2026 в 21:09"
778;2;"—";149;"52 51 46";0;"Участвуете в конкурсе";1387028;"01.07.2026 в 11:22"
779;3;"—";149;"52 48 49";0;"На рассмотрении";1405557;"01.07.2026 в 14:09"
780;4;"—";148;"40 54 54";0;"Участвуете в конкурсе";1166150;"27.06.2026 в 12:11"
781;5;"—";148;"52 48 48";0;"На рассмотрении";1278632;"01.07.2026 в 12:34"
782;2;"—";147;"46 46 55";0;"На рассмотрении";1183518;"28.06.2026 в 06:52"
783;1;"—";147;"46 46 55";0;"На рассмотрении";1314695;"30.06.2026 в 11:58"
784;5;"—";147;"52 56 39";0;"На рассмотрении";1343651;"30.06.2026 в 17:14"
785;4;"—";147;"58 46 43";0;"На рассмотрении";1580357;"03.07.2026 в 20:35"
786;4;"—";146;"46 48 52";0;"Передано в вуз";1405423;"05.07.2026 в 08:20"
787;5;"—";145;"52 41 52";0;"На рассмотрении";1331970;"30.06.2026 в 15:17"
788;5;"—";143;"40 40 63";0;"На рассмотрении";1471453;"02.07.2026 в 12:12"
789;1;"—";143;"40 48 51";4;"На рассмотрении";1212621;"28.06.2026 в 22:17"
790;4;"—";142;"40 54 48";0;"На рассмотрении";1161275;"27.06.2026 в 09:15"
791;2;"—";141;"46 43 52";0;"На рассмотрении";1099824;"29.06.2026 в 08:21"
792;5;"—";141;"64 20 57";0;"На рассмотрении";1184371;"28.06.2026 в 08:35"
793;2;"—";140;"46 48 46";0;"Участвуете в конкурсе";1034801;"01.07.2026 в 15:34"
794;4;"—";140;"40 46 54";0;"На рассмотрении";1508266;"02.07.2026 в 20:00"
795;2;"—";135;"40 53 42";0;"На рассмотрении";1159656;"02.07.2026 в 08:50"
796;5;"Электронное";131;"40 39 52";0;"На рассмотрении";1131535;"25.06.2026 в 20:52"
797;6;"—";128;"40 48 40";0;"На рассмотрении";1220731;"29.06.2026 в 08:12"
798;5;"—";125;"34 33 58";0;"На рассмотрении";1426440;"01.07.2026 в 17:51"
799;1;"—";124;"46 20 58";0;"На рассмотрении";974119;"20.06.2026 в 16:41"
800;3;"Электронное";117;"34 43 40";0;"На рассмотрении";942994;"20.06.2026 в 07:58"
801;2;"—";110;"11 38 61";0;"На рассмотрении";987744;"21.06.2026 в 05:18"
802;1;"Электронное";102;"27 27 48";0;"На рассмотрении";1082762;"24.06.2026 в 09:43"
803;4;"—";85;"43 42";0;"На рассмотрении";967940;"20.06.2026 в 13:45"
804;3;"—";48;"48";0;"На рассмотрении";1159940;"27.06.2026 в 07:33"
805;4;"—";0;"";0;"На рассмотрении";971439;"20.06.2026 в 14:47"
806;1;"—";0;"";0;"На рассмотрении";975280;"20.06.2026 в 17:23"
807;5;"—";0;"";0;"На рассмотрении";993025;"22.06.2026 в 07:54"
808;3;"Бумажное";0;"";0;"На рассмотрении";1001503;"21.06.2026 в 19:41"
809;3;"—";0;"";0;"На рассмотрении";1006731;"22.06.2026 в 05:36"
810;4;"—";0;"";10;"На рассмотрении";1009382;"22.06.2026 в 08:18"
811;3;"—";0;"";0;"На рассмотрении";1071600;"23.06.2026 в 18:11"
812;2;"—";0;"";0;"На рассмотрении";1079764;"24.06.2026 в 06:51"
813;1;"—";0;"";0;"На рассмотрении";1087569;"24.06.2026 в 11:42"
814;1;"—";0;"";10;"На рассмотрении";1088108;"24.06.2026 в 11:54"
815;3;"—";0;"";0;"На рассмотрении";1094421;"30.06.2026 в 07:54"
816;4;"—";0;"";0;"На рассмотрении";1108046;"25.06.2026 в 04:07"
817;3;"—";0;"";0;"Ожидаются результаты испытаний";1123343;"25.06.2026 в 14:45"
818;4;"Бумажное";0;"";0;"На рассмотрении";1124020;"30.06.2026 в 09:18"
819;1;"—";0;"";0;"На рассмотрении";1160259;"27.06.2026 в 07:41"
820;3;"Электронное";0;"";0;"На рассмотрении";1188028;"28.06.2026 в 11:28"
821;1;"—";0;"";0;"На рассмотрении";1204743;"28.06.2026 в 18:30"
822;2;"—";0;"";0;"На рассмотрении";1220493;"29.06.2026 в 08:05"
823;1;"—";0;"";0;"На рассмотрении";1227586;"29.06.2026 в 11:50"
824;1;"Бумажное";0;"";0;"На рассмотрении";1231713;"29.06.2026 в 13:55"
825;4;"Бумажное";0;"";0;"На рассмотрении";1232963;"29.06.2026 в 14:25"
826;1;"—";0;"";0;"На рассмотрении";1247234;"29.06.2026 в 21:26"
827;4;"Бумажное";0;"";0;"На рассмотрении";1293953;"30.06.2026 в 05:33"
828;4;"Бумажное";0;"";0;"На рассмотрении";1294120;"30.06.2026 в 05:46"
829;1;"Бумажное";0;"";0;"На рассмотрении";1294128;"30.06.2026 в 05:47"
830;1;"Бумажное";0;"";0;"На рассмотрении";1294134;"30.06.2026 в 05:47"
831;2;"Бумажное";0;"";0;"На рассмотрении";1294452;"30.06.2026 в 06:10"
832;1;"—";0;"";0;"На рассмотрении";1294694;"30.06.2026 в 06:25"
833;4;"Бумажное";0;"";0;"На рассмотрении";1294710;"30.06.2026 в 06:26"
834;1;"Бумажное";0;"";0;"На рассмотрении";1294853;"30.06.2026 в 06:33"
835;4;"Бумажное";0;"";0;"На рассмотрении";1295207;"30.06.2026 в 06:50"
836;1;"Бумажное";0;"";0;"На рассмотрении";1295393;"30.06.2026 в 07:00"
837;5;"Бумажное";0;"";0;"На рассмотрении";1295480;"30.06.2026 в 07:04"
838;4;"Бумажное";0;"";0;"На рассмотрении";1295493;"30.06.2026 в 07:05"
839;5;"—";0;"";0;"На рассмотрении";1295620;"30.06.2026 в 07:11"
840;1;"Бумажное";0;"";0;"На рассмотрении";1295672;"30.06.2026 в 07:14"
841;2;"—";0;"";0;"На рассмотрении";1296027;"30.06.2026 в 07:27"
842;1;"—";0;"";10;"На рассмотрении";1296576;"30.06.2026 в 07:46"
843;1;"—";0;"";0;"На рассмотрении";1297266;"30.06.2026 в 08:08"
844;4;"Бумажное";0;"";0;"На рассмотрении";1299269;"30.06.2026 в 08:59"
845;4;"—";0;"";0;"На рассмотрении";1311866;"30.06.2026 в 11:31"
846;3;"Бумажное";0;"";0;"На рассмотрении";1318320;"30.06.2026 в 12:32"
847;1;"—";0;"";0;"На рассмотрении";1318562;"30.06.2026 в 12:34"
848;4;"—";0;"";0;"На рассмотрении";1319983;"30.06.2026 в 12:46"
849;4;"Бумажное";0;"";0;"На рассмотрении";1324028;"30.06.2026 в 13:30"
850;3;"Электронное";0;"";0;"На рассмотрении";1375516;"01.07.2026 в 09:14"
851;3;"—";0;"";0;"На рассмотрении";1431555;"01.07.2026 в 19:16"
852;4;"—";0;"";0;"На рассмотрении";1449170;"02.07.2026 в 06:51"
853;1;"—";0;"";0;"На рассмотрении";1451056;"02.07.2026 в 08:00"
854;3;"—";0;"";0;"На рассмотрении";1456672;"02.07.2026 в 09:48"
855;1;"—";0;"";0;"На рассмотрении";1463420;"02.07.2026 в 10:58"
856;2;"—";0;"";0;"На рассмотрении";1475711;"02.07.2026 в 12:51"
857;3;"—";0;"";0;"На рассмотрении";1499057;"02.07.2026 в 16:35"
858;1;"—";0;"";0;"На рассмотрении";1519522;"02.07.2026 в 23:57"
859;1;"—";0;"";0;"На рассмотрении";1520434;"02.07.2026 в 23:29"
860;1;"—";0;"";0;"Конкурсная группа исключена";1578588;"03.07.2026 в 19:46"
861;1;"—";0;"";0;"На рассмотрении";1615688;"04.07.2026 в 16:24"
862;2;"—";0;"";0;"Передано в вуз";1631950;"05.07.2026 в 14:54"
863;1;"—";0;"";0;"Передано в вуз";1634736;"05.07.2026 в 14:42"
864;4;"—";0;"";0;"Передано в вуз";1639024;"05.07.2026 в 16:12"
865;5;"—";0;"";0;"Передано в вуз";1639276;"05.07.2026 в 14:56"
866;2;"—";0;"";0;"Передано в вуз";1639988;"05.07.2026 в 15:15"
867;1;"—";0;"";0;"Передано в вуз";1641261;"05.07.2026 в 15:49"
